Candidato;Partido;Ordem2;Circ;Gend
Maria Eduarda Mira Cruz Vilhena Nobre - Independente;CDS;3;beja;0
José Paulo Ferreira Areia de Carvalho;CDS;1;braga;1
Abílio Fernando Bragança Milheiro;CDS;2;braga;1
Ana Raquel Correia de Carvalho;CDS;3;braga;0
Diogo Carlos Mendes Almeida da Silva;CDS;4;braga;1
João Vicente Ribeiro Salgado;CDS;5;braga;1
Renata Filipa Oliveira Faria;CDS;6;braga;0
José Manuel Carvalho Lopes;CDS;7;braga;1
Martinho de Jesus Vieira de Faria;CDS;8;braga;1
Tânia Sofia Lima da Mota;CDS;9;braga;0
Francisco Alberto Vilela Correia;CDS;10;braga;1
João Paulo Gomes Pinto Campelos;CDS;11;braga;1
Neli Mota Pereira;CDS;12;braga;0
João Avelino Barroso Pires de Lima Leite;CDS;13;braga;1
Firmino Veloso Lopes;CDS;14;braga;1
Cláudia Isabel Campos da Costa Pereira;CDS;15;braga;0
Filipa Alexandra de Sousa Freitas;CDS;16;braga;0
Michel Filipe da Costa Machado;CDS;17;braga;1
Sílvia Andreia Paiva Martins;CDS;18;braga;0
Maria João de Araújo Cardoso;CDS;19;braga;0
António Mário Pegado Lemos de Mendonça;CDS;1;braKanca;1
Ilda Maria Vaz Teixeira;CDS;2;braKanca;0
Raul dos Anjos Aleixo;CDS;3;braKanca;1
Maria Inês Fraústo Correia Vieira Moreira;CDS;1;castelo_b;0
Rui Pedro Gonçalves Mateus;CDS;2;castelo_b;1
António José Moreno Dias Pires;CDS;3;castelo_b;1
Lúcia Maria Anacleto Torres Ribeiro;CDS;4;castelo_b;0
Jorge Alexandre Caldeira Gonçalves de Almeida;CDS;1;coimbra;1
Nuno Rafael Oliveira Dias;CDS;2;coimbra;1
Elsa Margarida de Sá Leonardo de Almeida;CDS;3;coimbra;0
Hugo Miguel Schönenberger Robles de Oliveira;CDS;4;coimbra;1
Paulo António Seco Moreira da Fonseca;CDS;5;coimbra;1
Regina de Fátima Neves Baptista;CDS;6;coimbra;0
Paulo Fernando da Silva Barbosa;CDS;7;coimbra;1
Bertília Isidora Cabeças da Silva Simão;CDS;8;coimbra;0
Miguel José Ferros Pimentel Reis da Fonseca;CDS;9;coimbra;1
Ana Maria Ferreira da Silva da Costa Freitas;CDS;1;evora;0
Carlos António Mateus Gomes;CDS;2;evora;1
Raquel Maudslay Costa Carreira;CDS;3;evora;0
José Pedro da Silva Caçorinho;CDS;1;faro;1
Monica Sofia Guedes Ferreira;CDS;2;faro;0
Manuel Afonso de Lousada Moreira;CDS;3;faro;1
Margarida Alexandra Manita Pereira da Cruz Andrade Gouveia;CDS;4;faro;0
Vasco da Silva Costa Barata Feio;CDS;5;faro;1
Isilda Maria Mendes Guerreiro;CDS;6;faro;0
António Augusto Braz da Paz;CDS;7;faro;1
Maria da Conceição Grade de Sousa Piscarreta;CDS;8;faro;0
Luís Matias Afonso;CDS;9;faro;1
João Mário Simões Amaral;CDS;1;guarda;1
Carolina Lopes Figueiredo;CDS;2;guarda;0
Dora Cruz Pinto de Almeida Vilhena;CDS;3;guarda;0
António Afonso Ávila de Mello Galvão Lucas;CDS;1;leiria;1
Fábio Alexandre Seguro Joaquim;CDS;2;leiria;1
Sofia Pires Borges;CDS;3;leiria;0
Paulo Fernando da Ponte e Sousa Pessoa de Carvalho;CDS;4;leiria;1
José António Martins da Fonseca;CDS;5;leiria;1
Liliana Adelina Gonçalves da Silva;CDS;6;leiria;0
Pedro Manuel Barra Fernandes;CDS;7;leiria;1
António Manuel dos Santos Varanda;CDS;8;leiria;1
Filomena Marília Henriques Carvalho;CDS;9;leiria;0
Rafael António Brás Simões;CDS;10;leiria;1
Francisco José Nina Martins Rodrigues dos Santos;CDS;1;lisboa;1
José Duarte de Almeida Ribeiro e Castro;CDS;2;lisboa;1
Margarida Isabel Paulino Bentes Penedo;CDS;3;lisboa;0
Francisco Maria Rosa Fialho Camacho;CDS;4;lisboa;1
Maurício Veríssimo Rodrigues;CDS;5;lisboa;1
Maria Teresa Avilez Nogueira Pinto;CDS;6;lisboa;0
João Pedro Galhofo;CDS;7;lisboa;1
Francisco André Coelho Ramos;CDS;8;lisboa;1
Amélia Maria Marques Mestre;CDS;9;lisboa;0
Carlos Manuel de Sousa Simões;CDS;10;lisboa;1
Gonçalo Maria Vassalo Moita;CDS;11;lisboa;1
Carina Cristina dos Santos Miranda;CDS;12;lisboa;0
Ricardo Manuel de Magalhães Pinheiro Alves;CDS;13;lisboa;1
Carlos de Mello Breyner Mariano de Carvalho;CDS;14;lisboa;1
Jorge Manuel Gomes dos Santos;CDS;15;lisboa;1
Sofia Ataíde Rodrigues Pereira de Penha Monteiro;CDS;16;lisboa;0
José Pinto de Amaral;CDS;17;lisboa;1
Manuel Fernando Gomes Marcelino;CDS;18;lisboa;1
Joana de Melo Carvalho e Oliveira e Costa;CDS;19;lisboa;0
João José Serra Pereira;CDS;20;lisboa;1
Hugo Luís Pedroso Falcão Ramos;CDS;21;lisboa;1
Maria Elsa Fernandes Saraiva;CDS;22;lisboa;0
Maria da Conceição Brito Oliveira de Almeida Cerqueira;CDS;23;lisboa;0
José Maria Seabra Vieira Duque;CDS;24;lisboa;1
Maria Leonor Oliveira Filipe Pereira;CDS;25;lisboa;0
João Manuel Serpa Gonçalves;CDS;26;lisboa;1
Maria Madalena de Magalhães Gagliardini Graça Pestana de Vasconcelos;CDS;27;lisboa;0
João Paulo da Graça Castanheira;CDS;28;lisboa;1
Nicole Louro de Sousa;CDS;29;lisboa;0
Gabriel Maria Simplício Baptista Fernandes;CDS;30;lisboa;1
Margarida Jorge Ervedosa Petinga;CDS;31;lisboa;0
Miguel Donões Dias;CDS;32;lisboa;1
Margarida Alexandre Gomes Rebocho Ferreira;CDS;33;lisboa;0
João Pulido Pereira Freire de Andrade;CDS;34;lisboa;1
Joana Maria de Deus de Albuquerque de Sousa Lara;CDS;35;lisboa;0
Lígia Joana Miranda Carreira Duarte;CDS;36;lisboa;0
Paulo Jorge Marques Gaspar;CDS;37;lisboa;1
Ana Sofia Bairrada Constantino Marques;CDS;38;lisboa;0
Filipa Joana da Silva Machado Vaz;CDS;39;lisboa;0
José Manuel Machado de Magalhães;CDS;40;lisboa;1
Sandra Maria Paiva João;CDS;41;lisboa;0
Ana Lúcia Ferreira Ribeiro Zacarias;CDS;42;lisboa;0
Luís Miguel Crisóstomo Sardinha;CDS;43;lisboa;1
Albina Túlia Figueiredo Longo;CDS;44;lisboa;0
Inês Margarida Seabra Camacho Rodrigues;CDS;45;lisboa;0
Edgar Alexandre de Oliveira Pereira;CDS;46;lisboa;1
Maria Leonor Santos Pintado da Silva Castel-Branco;CDS;47;lisboa;0
Sara Teixeira Bacelos Ascenso Gaspar;CDS;48;lisboa;0
Bruno David Polainas Batista;CDS;1;portalegre;1
Francisco Correia Tavares do Carmo Garcia;CDS;2;portalegre;1
Ana Filipa dos Santos Pato Correia Pinto Barbosa;CDS;1;porto;0
Fernando Barbosa Alves Pereira;CDS;2;porto;1
Pedro Clementino Vilas Boas Tavares;CDS;3;porto;1
Maria Teresa Vasconcelos de Morais Sarmento Lopes;CDS;4;porto;0
Pedro Miguel Parada Monteiro;CDS;5;porto;1
Diogo Miguel de Sá Meireles;CDS;6;porto;1
Cláudia Daniela Mota e Silva;CDS;7;porto;0
José Miguel de Vilas Boas Simões Sampaio;CDS;8;porto;1
Agostinho Jesus Gomes Guedes;CDS;9;porto;1
Fátima Estrela Vieira Tito Botelho;CDS;10;porto;0
Cristóvão Miguel dos Santos Neto;CDS;11;porto;1
Jorge Maria Nunes da Silva;CDS;12;porto;1
Sara Joana Ferreira Moreira;CDS;13;porto;0
Ricardo António Ferreira da Silva Camizão Rossi;CDS;14;porto;1
Tiago Ferreira da Silva Moreira Dionísio;CDS;15;porto;1
Elizabete Gomes Teixeira;CDS;16;porto;0
Vítor Manuel Santos Pereira;CDS;17;porto;1
Luís Filipe da Silva;CDS;18;porto;1
Ana Raquel Sá Reis;CDS;19;porto;0
João Paulo Oliveira Vieira;CDS;20;porto;1
Ricardo Miguel de Oliveira Silva;CDS;21;porto;1
Sónia Alexandre Pinto Ribeiro;CDS;22;porto;0
Mário Rui Oliveira Monteiro;CDS;23;porto;1
Bernardo Rodrigues Ribeiro;CDS;24;porto;1
Sara Moreira Machado;CDS;25;porto;0
Jorge Miguel Félix Pinto Espanhol;CDS;26;porto;1
Carlos António Lopes de Castro;CDS;27;porto;1
Maria Susana Ribeiro de Freitas;CDS;28;porto;0
Jorge Manuel Vieira de Oliveira;CDS;29;porto;1
Carlos Daniel Moreira da Costa;CDS;30;porto;1
Graça Sofia de Sousa Gião da Silva Moreira;CDS;31;porto;0
José Duarte Guimarães Geraldes Malheiro;CDS;32;porto;1
Cristina Maria Ferreira Duarte Brito Lopes;CDS;33;porto;0
Ana Sofia Moreira da Silva Tavares;CDS;34;porto;0
Jorge David da Costa Braga;CDS;35;porto;1
Luís Filipe Martins Pereira;CDS;36;porto;1
Ânia Fernandes Pereira;CDS;37;porto;0
Pedro Miguel Nogueira Soares Pinto;CDS;38;porto;1
Rui Jorge Pereira Cancelinha;CDS;39;porto;1
Maria de Assunção dos Santos Carvalho;CDS;40;porto;0
Pedro Gonçalo Coelho Nunes de Melo;CDS;1;santarem;1
Sandra Isabel Nunes da Silva Borges de Freitas;CDS;2;santarem;0
José Artur Bondoso Ferreira;CDS;3;santarem;1
Pedro Miguel Marques Pereira;CDS;4;santarem;1
Inês Guerra Vargas Rodrigues dos Santos;CDS;5;santarem;0
Rui Alberto Pires do Rosário;CDS;6;santarem;1
Luís Filipe Vargas Xavier;CDS;7;santarem;1
Marta Esquível Vacas de Carvalho Silva Pereira;CDS;8;santarem;0
Pedro Miguel Faria Gonçalves;CDS;9;santarem;1
Maria Cecília Magalhães Gagliardini Graça Anacoreta Correia;CDS;1;setubal;0
Paulo Jorge Silva dos Santos;CDS;2;setubal;1
Rita Serra Lopes Semedo Pimenta - Independente;CDS;3;setubal;0
Paulo Alexandre Silva Araújo;CDS;4;setubal;1
José Daniel Pimenta Coutinho;CDS;5;setubal;1
Inês Isabel Pinto Tavares;CDS;6;setubal;0
Cristina Maria dos Santos Paulino;CDS;7;setubal;0
Joaquim Maria Dias Gonçalves;CDS;8;setubal;1
Ana Maria de Mira Teixeira Rolo dos Santos;CDS;9;setubal;0
António José Valente Ferreira dos Santos;CDS;10;setubal;1
Pedro Miguel da Silva Ferreira de Oliveira;CDS;11;setubal;1
Isilda de Jesus Proença Letras;CDS;12;setubal;0
João António Anacleto Casaca;CDS;13;setubal;1
João Pedro Cristino da Silva;CDS;14;setubal;1
Maria Teresa Monteiro Pires de Carvalho de Noronha e Castro;CDS;15;setubal;0
Luís Filipe Pinela Coelho Fernandes;CDS;16;setubal;1
Cristina Isabel Nunes Lourenço Martins;CDS;17;setubal;0
Jorge Manuel de Sousa Sinquenique;CDS;18;setubal;1
Joana Vitorino Mendes;CDS;1;viana_c;0
Hugo Manuel Fernandes Meira;CDS;2;viana_c;1
Augusto Carlos de Noronha Azeredo Pinto Osório;CDS;3;viana_c;1
Rosa Bela Ramos Silva;CDS;4;viana_c;0
Renato Cunha Lobão Alves Moreno;CDS;5;viana_c;1
Manuel António Fernandes;CDS;6;viana_c;1
Vítor Carlos Teixeira Pimentel;CDS;1;vila_r;1
Maria Enide Gouveia da Silva Menezes Seixas;CDS;2;vila_r;0
João Luís Marques Rebelo da Silva;CDS;3;vila_r;1
Maria Adelaide Pinto dos Santos Carvalho;CDS;4;vila_r;0
Rogério António de Lima;CDS;5;vila_r;1
Manuel da Conceição Marques;CDS;1;viseu;1
